rank,cluster_id,kind,label,addresses,roles,recipient_count,voter_count,recipient_voter_count,total_compensation_gonka,total_voting_power,vote_power_by_option,vote_address_counts,evidence_boundary,interest_score,top_evidence,caveats
11,label:gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,label,gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,delegator epoch_commit_participant recipient voter,1,1,1,1575.513417,19974,yes:19974.0,yes:1,shared_public_label_only,18.247,compensation_output:1575.513417 GONKA:high | matched_validator_moniker:gonkavaloper1hwvel7n3zuk6wruefuzc356l9myske9shc8fy0:high | matched_validator_moniker:gonkavaloper1hwvel7n3zuk6wruefuzc356l9myske9shc8fy0:high | proposal_vote:yes:high | epoch_commit_participant:e265 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=51552:medium | epoch_commit_participant:e266 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=47392:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership. | At least one address both received compensation and voted."
12,label:gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,label,gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,epoch_commit_participant recipient voter,1,1,1,10934.181496,0,no_with_veto:0.0,no_with_veto:1,shared_public_label_only,17.734,compensation_output:10934.181496 GONKA:high | proposal_vote:no_with_veto:high | epoch_commit_participant:e265 moonshotai/Kimi-K2.6 count=12832:medium | epoch_commit_participant:e268 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=39328:medium | epoch_commit_participant:e270 moonshotai/Kimi-K2.6 count=13536:medium | epoch_commit_participant:e271 moonshotai/Kimi-K2.6 count=19552:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership. | Voter addresses in this cluster had zero archive governance voting power. | At least one address both received compensation and voted."
13,label:gonka1scskt6wpnjnumsah6kjphmdu87vjgvcxmn4rxv,label,gonka1scskt6wpnjnumsah6kjphmdu87vjgvcxmn4rxv,gonka1scskt6wpnjnumsah6kjphmdu87vjgvcxmn4rxv,epoch_commit_participant recipient voter,1,1,1,5645.801437,0,yes:0.0,yes:1,shared_public_label_only,16.411,compensation_output:5645.801437 GONKA:high | matched_validator_moniker:gonkavaloper1scskt6wpnjnumsah6kjphmdu87vjgvcx8nyy3p:high | matched_validator_moniker:gonkavaloper1scskt6wpnjnumsah6kjphmdu87vjgvcx8nyy3p:high | proposal_vote:yes:high | epoch_commit_participant:e275 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=8320:medium | epoch_commit_participant:e275 moonshotai/Kimi-K2.6 count=25696:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership. | Voter addresses in this cluster had zero archive governance voting power. | At least one address both received compensation and voted."
14,label:gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,label,gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,epoch_commit_participant recipient voter,1,1,1,2392.222959,4565,no_with_veto:4565.0,no_with_veto:1,shared_public_label_only,16.25,compensation_output:2392.222959 GONKA:high | matched_validator_moniker:gonkavaloper1zktn8j65wlys8a8e38hqhf4y3x6m4x047s835t:high | matched_validator_moniker:gonkavaloper1zktn8j65wlys8a8e38hqhf4y3x6m4x047s835t:high | proposal_vote:no_with_veto:high | epoch_commit_participant:e265 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=41056:medium | epoch_commit_participant:e266 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=38848:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership. | At least one address both received compensation and voted."
15,label:gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,label,gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,delegator epoch_commit_participant recipient voter,1,1,1,30.990429,278,no_with_veto:278.0,no_with_veto:1,shared_public_label_only,15.047,compensation_output:30.990429 GONKA:high | matched_validator_moniker:gonkavaloper1gyk0aahvr3qeju4zx0nplfreej6cy4jj28pt0e:high | matched_validator_moniker:gonkavaloper1gyk0aahvr3qeju4zx0nplfreej6cy4jj28pt0e:high | proposal_vote:no_with_veto:high | epoch_commit_participant:e267 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=1152:medium | epoch_commit_participant:e271 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=1120:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership. | At least one address both received compensation and voted."
16,label:gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,label,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,delegator epoch_commit_participant recipient voter,1,1,1,113.864834,0,no_with_veto:0.0,no_with_veto:1,shared_public_label_only,15.028,compensation_output:113.864834 GONKA:high | matched_validator_moniker:gonkavaloper1fvly5jrewyjmjfgwah3khy9rttq4cqajyeptjv:high | matched_validator_moniker:gonkavaloper1fvly5jrewyjmjfgwah3khy9rttq4cqajyeptjv:high | proposal_vote:no_with_veto:high | epoch_commit_participant:e265 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=4000:medium | epoch_commit_participant:e266 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=4000:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership. | Voter addresses in this cluster had zero archive governance voting power. | At least one address both received compensation and voted."
17,label:gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,label,gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,delegator epoch_commit_participant recipient voter,1,1,1,108.366532,0,no_with_veto:0.0,no_with_veto:1,shared_public_label_only,15.027,compensation_output:108.366532 GONKA:high | matched_validator_moniker:gonkavaloper1cuwejs77gectp3n32wg8q27hlsa4m3hqvpcjer:high | matched_validator_moniker:gonkavaloper1cuwejs77gectp3n32wg8q27hlsa4m3hqvpcjer:high | proposal_vote:no_with_veto:high | epoch_commit_participant:e265 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=3872:medium | epoch_commit_participant:e266 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=3808:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership. | Voter addresses in this cluster had zero archive governance voting power. | At least one address both received compensation and voted."
18,signal-1,signal_cluster,gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau gonka16r08lhm50zwjddmslfw2344z67r70vqul0dus6 gonka1wvv656pt2d8x2khcvytqeessck5uzjnxzsa8f6,epoch_commit_participant recipient voter,2,1,0,26121.988467,0,no_with_veto:0.0,no_with_veto:1,infrastructure_or_public_signal,10.53,compensation_output:20610.390028 GONKA:high | compensation_output:5511.598439 GONKA:high | matched_validator_moniker:gonkavaloper10079cnl3nuh2k82mhkm04dj0slhtw9kmwelf23:high | matched_validator_moniker:gonkavaloper10079cnl3nuh2k82mhkm04dj0slhtw9kmwelf23:high | matched_validator_moniker:gonkavaloper1wvv656pt2d8x2khcvytqeessck5uzjnx7svq7h:high | matched_validator_moniker:gonkavaloper1wvv656pt2d8x2khcvytqeessck5uzjnx7svq7h:high,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership. | Voter addresses in this cluster had zero archive governance voting power."
19,label:gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,label,gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,epoch_commit_participant recipient,1,0,0,39809.676543,0,,,shared_public_label_only,9.952,compensation_output:39809.676543 GONKA:high | matched_validator_moniker:gonkavaloper1j7x6dv42xehe9e5au4ku3wvzwtqlegfjtla99h:high | matched_validator_moniker:gonkavaloper1j7x6dv42xehe9e5au4ku3wvzwtqlegfjtla99h:high | epoch_commit_participant:e265 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=1024:medium | epoch_commit_participant:e265 moonshotai/Kimi-K2.6 count=57984:medium | epoch_commit_participant:e266 moonshotai/Kimi-K2.6 count=57532:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership."
20,label:gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax,label,gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax,gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax,epoch_commit_participant recipient,1,0,0,33750.579636,0,,,shared_public_label_only,8.438,compensation_output:33750.579636 GONKA:high | matched_validator_moniker:gonkavaloper1jrgm47v5eg876udmzg6j6glqcsd5x0vkxcjx2t:high | matched_validator_moniker:gonkavaloper1jrgm47v5eg876udmzg6j6glqcsd5x0vkxcjx2t:high | epoch_commit_participant:e266 moonshotai/Kimi-K2.6 count=25664:medium | epoch_commit_participant:e267 moonshotai/Kimi-K2.6 count=38336:medium | epoch_commit_participant:e268 moonshotai/Kimi-K2.6 count=39648:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership."
21,label:A? · gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,label,A? · gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,epoch_commit_participant recipient,1,0,0,18234.887511,0,,,shared_public_label_only,4.559,compensation_output:18234.887511 GONKA:high | epoch_commit_participant:e265 moonshotai/Kimi-K2.6 count=11168:medium | epoch_commit_participant:e266 moonshotai/Kimi-K2.6 count=12896:medium | epoch_commit_participant:e267 moonshotai/Kimi-K2.6 count=19040:medium | epoch_commit_participant:e268 moonshotai/Kimi-K2.6 count=13568:medium | epoch_commit_participant:e269 moonshotai/Kimi-K2.6 count=14048:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership."
22,label:gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,label,gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,epoch_commit_participant voter,0,1,0,0,31063,no_with_veto:31063.0,no_with_veto:1,shared_public_label_only,4.438,matched_validator_moniker:gonkavaloper1d694r00czmq75txghwjcuk07lxvc8d4e2gps2z:high | matched_validator_moniker:gonkavaloper1d694r00czmq75txghwjcuk07lxvc8d4e2gps2z:high | proposal_vote:no_with_veto:high | epoch_commit_participant:e266 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=1424:medium | epoch_commit_participant:e267 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=1424:medium | epoch_commit_participant:e268 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=1464:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership."
23,label:gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,label,gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,epoch_commit_participant recipient,1,0,0,17630.158097,0,,,shared_public_label_only,4.408,compensation_output:17630.158097 GONKA:high | matched_validator_moniker:gonkavaloper1yal0ysgzc860zt3y8cds8656tnueusgy8f6tpr:high | matched_validator_moniker:gonkavaloper1yal0ysgzc860zt3y8cds8656tnueusgy8f6tpr:high | epoch_commit_participant:e266 moonshotai/Kimi-K2.6 count=5664:medium | epoch_commit_participant:e267 moonshotai/Kimi-K2.6 count=30176:medium | epoch_commit_participant:e269 moonshotai/Kimi-K2.6 count=6304:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership."
24,label:gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,label,gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,epoch_commit_participant recipient,1,0,0,13958.367773,0,,,shared_public_label_only,3.49,compensation_output:13958.367773 GONKA:high | matched_validator_moniker:gonkavaloper1830lqug50lse998x2lakk4pj5ypfumz5aap9cf:high | matched_validator_moniker:gonkavaloper1830lqug50lse998x2lakk4pj5ypfumz5aap9cf:high | epoch_commit_participant:e265 moonshotai/Kimi-K2.6 count=12480:medium | epoch_commit_participant:e267 moonshotai/Kimi-K2.6 count=12640:medium | epoch_commit_participant:e273 moonshotai/Kimi-K2.6 count=13664:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership."
25,label:gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,label,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,epoch_commit_participant recipient,1,0,0,12612.234866,0,,,shared_public_label_only,3.153,compensation_output:12612.234866 GONKA:high | matched_validator_moniker:gonkavaloper1ujnc662v6g69jm6fgxnr79a2m7ehzeutn55dxg:high | matched_validator_moniker:gonkavaloper1ujnc662v6g69jm6fgxnr79a2m7ehzeutn55dxg:high | epoch_commit_participant:e265 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=7296:medium | epoch_commit_participant:e265 moonshotai/Kimi-K2.6 count=6784:medium | epoch_commit_participant:e266 moonshotai/Kimi-K2.6 count=22272:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership."
26,strict-1,strict_identity,gonka-3 · gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5 gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,epoch_commit_participant recipient,2,0,0,4044.099545,0,,,public_owner_proof,3.011,matched_validator_identity:673C81B66A67ED67:high | matched_validator_identity:673C81B66A67ED67:high | matched_validator_identity:673C81B66A67ED67:high | matched_validator_identity:673C81B66A67ED67:high | matched_validator_moniker:gonka-3:high | matched_validator_moniker:gonka-3:high,
27,label:gonka1nmn039cgpkhmkzekpkfz3nkv9tcjckpn46jyrj,label,gonka1nmn039cgpkhmkzekpkfz3nkv9tcjckpn46jyrj,gonka1nmn039cgpkhmkzekpkfz3nkv9tcjckpn46jyrj,voter,0,1,0,0,20647,yes:20647.0,yes:1,shared_public_label_only,2.95,matched_validator_moniker:gonkavaloper1nmn039cgpkhmkzekpkfz3nkv9tcjckpnf6rr5l:high | matched_validator_moniker:gonkavaloper1nmn039cgpkhmkzekpkfz3nkv9tcjckpnf6rr5l:high | proposal_vote:yes:high | participant_inference_url:http://94.237.52.191:8000:medium | participant_inference_url:http://94.237.52.191:8000:medium | participant_inference_url:http://94.237.52.191:8000:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership."
28,label:gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,label,gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,epoch_commit_participant recipient,1,0,0,11688.555563,0,,,shared_public_label_only,2.922,compensation_output:11688.555563 GONKA:high | matched_validator_moniker:gonkavaloper1007g0ut3u4wjkay9hegqfev4pj90qgexjs8u0r:high | matched_validator_moniker:gonkavaloper1007g0ut3u4wjkay9hegqfev4pj90qgexjs8u0r:high | epoch_commit_participant:e268 moonshotai/Kimi-K2.6 count=14464:medium | epoch_commit_participant:e269 moonshotai/Kimi-K2.6 count=7008:medium | epoch_commit_participant:e270 moonshotai/Kimi-K2.6 count=15264:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership."
29,label:gonka1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuqd6uqt9,label,gonka1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuqd6uqt9,gonka1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuqd6uqt9,epoch_commit_participant recipient,1,0,0,11366.419254,0,,,shared_public_label_only,2.842,compensation_output:11366.419254 GONKA:high | matched_validator_moniker:gonkavaloper1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuq36d8ug:high | matched_validator_moniker:gonkavaloper1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuq36d8ug:high | epoch_commit_participant:e266 moonshotai/Kimi-K2.6 count=12384:medium | epoch_commit_participant:e267 moonshotai/Kimi-K2.6 count=11680:medium | epoch_commit_participant:e268 moonshotai/Kimi-K2.6 count=13088:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership."
30,label:gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,label,gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,epoch_commit_participant recipient,1,0,0,10456.612261,0,,,shared_public_label_only,2.614,compensation_output:10456.612261 GONKA:high | epoch_commit_participant:e265 moonshotai/Kimi-K2.6 count=6720:medium | epoch_commit_participant:e266 moonshotai/Kimi-K2.6 count=6496:medium | epoch_commit_participant:e267 moonshotai/Kimi-K2.6 count=12352:medium | epoch_commit_participant:e272 moonshotai/Kimi-K2.6 count=13344:medium | epoch_commit_participant:e273 moonshotai/Kimi-K2.6 count=13120:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership."
31,label:gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,label,gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,epoch_commit_participant recipient,1,0,0,9768.694504,0,,,shared_public_label_only,2.442,compensation_output:9768.694504 GONKA:high | matched_validator_moniker:gonkavaloper1xwkesaxvdadh9wt9yyladu0r260s7whkrc8v6a:high | matched_validator_moniker:gonkavaloper1xwkesaxvdadh9wt9yyladu0r260s7whkrc8v6a:high | epoch_commit_participant:e266 moonshotai/Kimi-K2.6 count=12896:medium | epoch_commit_participant:e267 moonshotai/Kimi-K2.6 count=6336:medium | epoch_commit_participant:e270 moonshotai/Kimi-K2.6 count=6528:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership."
