source_type,value,confidence,is_attribution_proof,addresses,address_count,total_compensation_gonka,total_voting_power,vote_power_by_option,source_file
gns_name,sosnov.gnk,high,True,gonka1q9f3wphjnf633fevej30y4aw3nnw87hl0r7qe4,1,0,0,,data/gns_names_by_address.json
gns_name,was.gnk,high,True,gonka1q9f3wphjnf633fevej30y4aw3nnw87hl0r7qe4,1,0,0,,data/gns_names_by_address.json
gns_name,wat.gnk,high,True,gonka1q9f3wphjnf633fevej30y4aw3nnw87hl0r7qe4,1,0,0,,data/gns_names_by_address.json
participant_inference_url,http://20.88.58.210:8000,medium,False,gonka1naxyjmun6kl23htjdujwd6c5z5avgwapsrmfk3,1,0,0,,data/participants_by_address.json
participant_inference_url,http://78.46.89.87:8000,medium,False,gonka1kvmerzu64094dt9t62ea0cp75larh39ulzldum,1,0,0,,data/participants_by_address.json
participant_inference_url,http://95.216.112.248:8000,medium,False,gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu,1,0,0,,data/participants_by_address.json
validator_moniker,gonkavaloper14n4p8wfa03rhmy4agc560k4a3zafavakr2kukm,high,False,gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu,1,0,0,,data/validators.json
validator_moniker,gonkavaloper16r08lhm50zwjddmslfw2344z67r70vqur0um8h,high,False,gonka16r08lhm50zwjddmslfw2344z67r70vqul0dus6,1,0,0,,data/validators.json
validator_moniker,gonkavaloper1kvmerzu64094dt9t62ea0cp75larh39urzw2tk,high,False,gonka1kvmerzu64094dt9t62ea0cp75larh39ulzldum,1,0,0,,data/validators.json
validator_moniker,gonkavaloper1naxyjmun6kl23htjdujwd6c5z5avgwapvr2wpu,high,False,gonka1naxyjmun6kl23htjdujwd6c5z5avgwapsrmfk3,1,0,0,,data/validators.json
validator_website,https:/gonka.top,medium,False,gonka16r08lhm50zwjddmslfw2344z67r70vqul0dus6,1,0,0,,data/validators.json
